doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
물론이지.	2	2	2	2	2	2	2	2	2	2
얼마든지 먹어.	2	2	2	2	0	2	0	2	2	2
원하면 한 조각 이상 먹어도 돼.	2	2	2	2	2	2	0	2	2	2
그냥 한조각만 먹을게.	2	2	2	2	2	2	2	2	2	2
배가 조금 출출한 것 뿐이니까.	2	2	2	2	2	2	2	2	2	2
나도 같이 가도 돼?	0	2	2	2	0	2	2	2	2	2
물론이지.	2	2	2	2	2	2	2	2	2	2
무슨 날이야?	2	2	2	2	2	2	2	2	2	2
이번 토요일이 걔 생일이거든.	2	2	2	2	2	2	2	2	2	2
그럼 네 동생이 몇 살이 되는 거야?	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
아야 아야 아야 야...아퍼 아퍼..	2	2	2	2	2	2	2	2	2	2
아파?	2	2	2	2	2	2	2	2	2	2
난 안 아픈데	2	2	2	2	2	2	2	2	2	2
아퍼 난 아퍼..	2	2	2	2	2	2	2	2	2	2
아플리가 없지..	2	2	2	2	2	2	2	2	2	2
잘 걸어봐..	2	2	2	2	2	2	2	2	2	2
아파요 아까나 지금이나..	2	2	2	2	2	2	2	2	2	2
어우 화장실..	2	2	2	2	2	2	2	2	2	2
야!!	2	2	2	2	2	2	1	2	0	2
너 엄살떨지 말고 제대로 걸어!	2	2	2	2	2	2	1	1	0	2
엄살이 아니라 진짜 아파서 그래요~	2	2	2	2	2	2	2	1	2	2
아프긴 뭐가 아퍼!	2	2	2	2	2	2	2	2	2	2
친구는 걷는데 왜 못걸어!	2	2	2	2	2	2	2	2	2	2
걸어봐!!	2	2	2	2	2	2	2	2	2	2
아 왜 이러세요 진짜!	2	2	2	2	2	2	2	2	0	2
못걷겠는 걸 어떡해요!	2	2	2	2	2	2	2	2	2	2
왜 못 걸어?	2	2	2	2	2	2	2	2	2	2
침맞았는데 왜 못걸어!!충분히 걸을수 있어!!	2	2	2	2	2	2	1	2	2	2
빨리걸어!	2	2	2	2	2	2	1	2	2	2
아 진짜 왜 이러세요~	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
엘런하고 헤어졌다고 들었는데.	2	2	2	2	2	2	2	2	2	2
진짜야?	2	2	2	2	2	2	2	2	2	2
응 헤어졌어.	2	2	2	2	2	2	2	2	2	2
어떻게 된 거야?	2	2	2	2	2	2	2	2	2	2
엘런이 혼자 살고 싶대.	2	2	2	2	2	2	2	2	2	2
이렇게 될 줄 알았어?	2	2	2	2	2	2	2	2	2	2
응 알았어.	2	2	2	2	2	2	2	2	2	2
조짐이 보였거든.	2	2	2	2	2	2	2	2	2	2
퇴근하는 시간이 점점 늦어지기 시작했고 주말에는 아무 데도 가려고 하지 않았어.	2	2	2	2	2	2	2	2	2	2
마음도 아프고 해서 시간이 좀 걸리겠지만 괜찮을 거야.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
이곳에 세탁시설이 되어 있습니까?	2	2	2	2	2	2	2	2	2	2
아니오, 없습니다.	2	2	2	2	2	2	2	2	2	2
하지만 드라이 클리닝 서비스는 해드립니다.	2	2	2	2	2	2	2	2	2	2
내일 아침까지 이 셔츠를 빳빳하게 다림질해주시겠습니까?	2	2	2	2	2	2	2	2	2	2
네, 알아서 해오겠습니다.	2	2	2	2	2	2	0	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
안녕 에스더 잘 있었어요?	2	2	2	2	2	2	2	2	2	2
그저 그래요.	2	2	2	2	2	2	2	2	2	2
무슨 일이에요?	2	2	2	2	2	2	2	2	2	2
우리 아들때문에요.	2	2	2	2	2	2	2	2	2	2
방청소를 시킬 수가 없네요.	2	2	2	2	2	2	2	2	2	2
항상 어지럽히고 다니나요?	2	2	2	2	2	2	2	2	2	2
엉망진창인게 폭탄이라도 떨어진 것같아요.	2	2	2	2	2	2	2	2	2	2
무슨 얘긴지 나도 잘 안답니다.	2	2	2	2	2	2	2	2	2	2
아들 둘을 두셨으니까 물론 잘 아실 거에요.	2	2	2	2	2	2	2	2	2	2
걔들에게 방청소시키는 게 마치 쇠뿔 잡아당기는 것 같이 힘들답니다.	2	2	2	2	2	2	2	2	0	2
어떻게 해야 할지 모르겠어요.	2	2	1	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
메리를 응원 해줄 뭔가를 하는게 좋겠어.	2	2	2	2	2	2	2	2	2	2
내가 그녈 봐온 중에서 가장 우울해 하는 것 같아.	2	2	2	2	2	2	2	2	2	2
그녀는 지금 힘든 시기를 겪고 있는 중이야.	2	2	2	2	2	2	2	2	2	2
아마 시간이 단지 필요할 뿐 일거야.	2	2	2	2	2	2	2	2	2	2
난 그녀가 그렇게 축처져있는 걸 못 보겠어.	2	2	2	2	0	2	0	2	2	2
원래 굉장히 활기찬 성격의 사람이잖아.	2	2	2	2	2	2	2	2	2	2
그녀는 그걸 극복해낼거야.	2	2	2	2	2	2	0	2	2	2
우리가 자기곁에 있다는걸 알고 있어.	2	2	2	2	2	2	0	2	2	2
준비가 되면 떨치고 일어나겠지.	2	2	2	2	2	2	0	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
당신의 보증인은 누구입니까?	2	2	2	2	2	2	2	2	2	2
제 보증인 이름은 이천직입니다.	2	2	2	2	2	2	2	2	2	2
당신과의 관계가 어떻게 됩니까?	2	2	2	2	2	2	2	2	2	2
저의 아버지의 친구분이십니다.	2	2	2	2	2	2	2	2	2	2
로스엔젤레스에서 거의 20년 동안 살고 계십니다.	2	2	2	2	2	2	2	2	2	2
알겠습니다.	2	2	2	2	2	2	2	2	2	2
로비에서 기다리십시오.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
이 서류에 이름, 주소, 전화 번호를 기재해 주십시오.	2	2	2	2	2	2	2	2	2	2
의료 보험을 들고 계십니까?	2	2	2	2	2	2	2	2	2	2
아니오.	2	2	2	2	2	2	2	2	2	2
그 것이 문제가 됩니까?	2	2	2	2	2	2	2	2	2	2
아니오, 그렇지 않습니다.	2	2	2	2	2	2	2	2	2	2
이 접수증을 가지고 외국인 진료소로 가십시오.	2	2	2	2	2	2	2	2	2	2
여기서 왼쪽으로 가시면 외국인 진료소 앞에 큰 간판을 보실 수 있을 것입니다.	2	2	2	2	2	2	2	2	2	2
찾기에 어렵지 않을 것입니다.	2	2	2	2	2	2	0	2	2	2
친절하게 가르쳐 주셔서 감사합니다.	2	2	2	2	2	2	0	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
요즘 통 안보이던데 어디 갔었어?	2	2	2	2	0	2	2	2	2	2
시카고 좋지.	2	2	2	2	2	2	2	2	2	2
나이트 클럽도 갔었어?	2	2	2	2	0	2	2	2	2	2
아니.	2	2	2	2	2	2	2	2	2	2
컨벤션에서 정신없이 바빴어.	2	2	2	2	2	2	2	2	2	2
농담이겠지.	2	2	2	2	2	2	1	2	2	2
클럽 가는 거 좋아하면서.	2	2	2	2	2	2	1	2	2	2
진짜야.	2	2	2	2	2	2	0	2	2	2
회사에서 앞서 가고 싶은데 그러려면 일을 많이 해야지.	2	2	0	2	2	2	2	2	2	2
요즘 들어 아주 진지해졌어.	2	2	2	2	2	2	2	2	2	2
너한테도 본받을 만한 사람이 되려고 노력 중이야.	2	2	0	2	2	2	2	2	2	2
그렇게 생각해 주니 고맙지만 그런다고 크게 달라지는 게 있을까.	2	2	2	2	2	2	2	2	2	2
어쨌든 열심히 할거야.	2	2	0	2	2	2	2	0	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
댁의 식구들은 잘 지내고 있나요?	2	2	2	2	2	2	2	2	2	2
모두 잘 지내요.	2	2	2	2	2	2	2	2	2	2
당신 가족들은 어때요?	2	2	2	2	2	2	2	2	2	2
제 어머니만 제외하고는 모두 잘 지내요.	2	2	2	2	2	2	2	2	2	2
어머니가 어디 편찮으신가요?	2	2	2	2	2	2	2	2	2	2
지난 주 내내 아프셨어요.	2	2	2	2	2	2	2	2	2	2
병원에 다녀오셨나요?	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
누구야?	0	2	2	2	2	2	2	2	2	2
새러야.	2	2	2	2	2	2	2	2	2	2
우리한테 토요일 밤에 바비큐 먹으러 오래.	2	2	2	2	2	2	2	2	2	2
뭐라고 얘기했어?	2	2	2	2	2	2	2	2	2	2
나중에 알려준다고 했어.	2	2	2	2	2	2	2	2	2	2
새러 남편 골치 아픈 사람인데.	2	2	2	2	2	2	1	2	2	2
알아.	2	2	2	2	2	2	2	2	2	2
어떤 땐 못 봐주겠더라.	2	2	2	2	2	2	2	2	2	2
한데 새러는 좋아.	2	2	2	2	2	2	2	2	2	2
동감이야.	2	2	2	2	2	2	0	2	2	2
사람들이 새러와는 다 잘 지내.	2	2	2	2	2	2	2	2	2	2
뭐라고 할까?	2	2	2	2	2	2	2	2	2	2
간다고 할까?	2	2	2	2	2	2	2	2	2	2
난 가도 괜찮아.	2	2	2	2	2	2	2	2	2	2
알았어.	2	2	2	2	2	2	2	2	2	2
그렇게 전화할게.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
실직 상태에 있으신 적이 있나요?	2	2	2	2	2	2	2	2	2	2
아니오, 없습니다.	2	2	2	2	2	2	2	2	2	2
출근율은 어땠습니까?	0	2	2	2	2	2	2	2	2	2
아주 좋았어요.	2	2	2	2	2	2	2	2	2	2
좀처럼 아프진 않거든요.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
잠시 좀 뵐 수 있을까요?	2	2	2	2	2	2	2	2	2	2
무엇 때문에요?	2	2	2	2	2	2	2	2	2	2
선생님과 상의 드릴 것이 있어서요.	2	2	2	2	2	2	2	2	2	2
나중에 상의하면 안 될까요?	2	2	2	2	2	2	2	2	2	2
좀 중요한 거라서요.	2	2	2	2	2	2	2	2	2	2
돌아와서 기꺼이 들어 드릴께요.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
이게 뭡니까?!	2	2	2	2	2	2	1	2	2	2
지금 나랑 전쟁을 하시자 이 말씀이요?	2	2	2	2	2	2	1	2	2	2
전쟁이요?	2	2	2	2	2	2	2	2	2	2
해야 될 전쟁이면 해야죠.	2	2	2	2	0	2	1	2	2	2
뭐욧?	2	2	2	2	2	2	1	2	0	2
누가 뿌렸는지는 모르겠지만 만약 이 전단의 내용이 다 사실이면 우리 학교 급식을 당장 중단해 주셔야겠습니다.	2	2	2	2	0	2	1	2	2	2
이 사람이 진짜..	2	2	2	2	2	2	1	2	2	2
좋아요!	2	2	2	2	0	2	2	2	2	2
전쟁 한번 해봅시다!	2	2	2	2	2	2	1	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
오늘 아침에 내 알람시계가 무용지물이란 것을 증명했어.	2	2	2	2	2	2	2	2	2	2
알람을 여러 개를 맞춰놔야지.	2	2	2	2	2	2	2	2	2	2
다른 방도가 없어요.	2	2	2	2	2	2	2	2	2	2
문제는 어젯밤에 내가 너무 늦게 잤다는 거야.	2	2	2	2	2	2	2	2	2	2
그러면 큰일나지.	2	2	2	2	2	2	2	2	2	2
일찍 자고 일찍 일어나야지.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
안녕, David.	2	2	2	2	2	2	2	2	2	2
안녕, Jack.	2	2	2	2	2	2	2	2	2	2
너 기분 좋아 보인다.	2	2	2	2	2	2	2	2	2	2
무슨 좋은 일 있니?	2	2	2	2	2	2	2	2	2	2
어.	2	2	2	2	2	2	2	2	2	2
여름 방학이 오고 있어서 너무 신나!	2	2	2	2	0	2	2	2	2	2
여름 방학이 언젠데?	2	2	2	2	2	2	2	2	2	2
7월 20일이야.	2	2	2	2	2	2	2	2	2	2
너네 방학 정말 빠르다.	2	2	2	2	2	2	2	2	2	2
나는 7월 26일이야.	2	2	2	2	2	2	2	2	2	2
이번 여름 방학에 뭐 할거니?	2	2	2	2	2	2	2	2	2	2
나는 가족들과 함께 제주도로 여행을 가서 거기 있는 할아버지의 집을 방문할 거야.	2	2	2	2	2	2	2	2	2	2
제주도?	2	2	2	2	2	2	2	2	2	2
나는 한 번도 거기 가 본 적이 없어.	2	2	2	2	2	2	2	2	2	2
부럽다.	2	2	2	2	2	2	2	2	2	2
너는 이번 여름 방학에 뭐 할 계획이니?	2	2	2	2	2	2	2	2	2	2
아직 생각해 본 적은 없는데 놀 시간이 별로 없을 것 같아.	2	2	2	2	2	2	2	2	2	2
무슨 소리야?	2	2	2	2	2	2	1	1	2	2
너도 알다시피 내 수학 점수가 25점이나 떨어졌잖아.	2	2	2	2	2	2	2	2	2	2
그래서 나는 수학 문제를 더 열심히 풀어야 할 수도 있어.	2	2	2	2	2	2	2	2	2	2
알았어.	2	2	2	2	2	2	2	2	2	2
언젠가는 네가 수학을 잘 하게 됐으면 좋겠다.	2	2	2	2	2	2	0	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
오늘 저녁 맛있게 먹었니?	2	2	2	2	2	2	2	2	2	2
아주 맛있었어요.	2	2	2	2	2	2	2	2	2	2
후식으로 뭐 좀 먹을래?	2	2	2	2	2	2	0	2	2	2
아뇨.	2	2	2	2	2	2	2	2	2	2
더는 못 먹겠어요.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
얘 넌 무슨 시계가 이렇게 많니?	2	2	2	2	2	2	2	2	2	2
아침에 일어나려고.	2	2	2	2	2	2	2	2	2	2
근데 시간이 모조리 다르잖아.	2	2	2	2	2	2	2	2	2	2
일부러 그러는 거야.	2	2	2	2	2	2	2	2	2	2
이건 10분 일찍 이건 10분 늦게 이건 딱 맞게 맞춰놓는 거야.	2	2	2	2	2	2	2	2	2	2
그럼 알람이 10분에 한 번씩 울려?	2	2	2	2	2	2	2	2	2	2
응.	2	2	2	2	2	2	2	2	2	2
굉장하지 않니?	2	2	2	2	2	2	2	2	2	2
미친 것 아냐?	1	2	2	2	2	2	2	2	2	2
아니.	2	2	2	2	2	2	2	2	2	2
난 잠을 깊이 자서.	2	2	2	2	2	2	2	2	2	2
난 아냐.	2	2	2	2	2	2	2	2	2	2
난 새벽부터 알람 없이도 일어나.	2	2	0	2	2	2	2	2	2	2
좋겠구나.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
너 괜찮아?	2	2	2	2	2	2	0	2	2	2
아빠 성공한다 그랬잖아요!!	2	2	2	2	2	2	2	2	2	2
아빠도 뛰어내려요!	2	2	2	2	2	2	2	2	2	2
안돼..난 무서워..	1	2	2	2	1	2	2	2	2	2
아빠..	2	2	2	2	2	2	2	2	0	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
여보?	2	2	2	2	2	2	2	2	2	2
어디 갔어?	2	2	2	2	2	2	2	2	2	2
뭐냐?	2	2	2	2	2	2	2	2	2	2
어머님 저희 방 바꾸기로 했는데..	2	2	2	2	2	2	2	2	2	2
못 들으셨어요?	2	2	2	2	2	2	2	2	2	2
들을리가 없지..언제 또 바뀌었냐?	2	2	2	2	1	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
실례합니다.	2	2	2	2	2	2	2	2	2	2
여기가 접수창구입니까?	2	2	2	2	2	2	2	2	2	2
네, 무얼 도와 드릴까요?	2	2	2	2	2	2	2	2	2	2
존스 박사님을 만나러 왔는데요.	2	2	2	2	2	2	2	2	2	2
전에 존스 박사님을 만나신 적이 있으세요?	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
어서 에릭!	2	2	2	2	2	2	2	2	2	2
농구화 새로 사고 싶으면 서둘러라!	2	2	2	2	2	2	2	2	2	2
알았어요.	2	2	2	2	2	2	2	2	2	2
오늘 아침은 왜 이렇게 일어나기 어려운지 모르겠어요.	2	2	2	2	2	2	2	2	2	2
나가기 전에 네 방 치우는 게 좋을 거야.	2	2	2	2	2	2	2	2	2	2
아침 다 됐어요?	2	2	2	2	2	2	2	2	2	2
지금 달걀 하고 있다.	2	2	2	2	2	2	2	2	2	2
달걀하고 토스트야.	2	2	2	2	2	2	2	2	2	2
어서 해.	2	2	2	2	2	2	2	2	2	2
가자.	2	2	2	2	2	2	2	2	2	2
지난 밤에 한숨도 못 잤어요.	2	2	2	2	2	2	2	2	2	2
왜?	2	2	2	2	2	2	2	2	2	2
밤새 헬리콥터 떠다니는 소리 못 들으셨어요?	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
여보.	2	2	2	2	2	2	2	2	2	2
어 왜?	2	2	2	2	2	2	2	2	2	2
나 지금 삼거리에 있는데 차가 갑자기 멈춰섰어.	2	2	2	2	2	2	2	2	0	2
어떡 해?	2	2	2	2	2	2	2	2	2	2
뭐라고?	2	2	2	2	2	2	2	2	0	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
엄마, 뭐 하나 물어봐도 돼?	2	2	2	2	2	2	2	2	2	2
그럼, 뭔데?	2	2	2	2	2	2	2	2	2	2
듣고 나서 화내고 그럼 안돼.	2	2	2	2	2	2	2	2	2	2
뭔데 그래?	2	2	2	2	2	2	2	2	2	2
문신을 새기고 싶은데.	0	2	2	2	2	2	2	2	2	2
하나만 해도 될까?	0	2	2	2	2	2	2	2	2	2
절대 안돼!	1	2	2	2	2	2	2	2	2	2
왜?	2	2	2	2	2	2	2	2	2	2
학교 친구들은 했는데.	2	2	2	2	2	2	2	2	2	2
학교에 있는 친구들은 내 자식들이 아니잖아.	2	2	2	2	2	2	2	2	2	2
절대 안돼.	1	2	2	2	2	2	2	2	2	2
작은 것 하나만.	0	2	2	2	2	2	2	2	2	2
안돼!	2	2	2	2	2	2	2	2	2	2
절대 허락할 수 없어.	1	2	2	2	0	2	1	2	2	2
내 딸은 안돼.	1	2	2	2	0	2	1	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
여보세요.	2	2	2	2	2	2	2	2	2	2
여보세요 레이 나 데브라야.	2	2	2	2	2	2	2	2	2	2
어 안녕 데브라.	2	2	2	2	2	2	2	2	2	2
레이 잠깐 시간있어?	2	2	2	2	0	2	2	2	2	2
사실은 막 나서려던 참이었어.	2	2	2	2	2	2	2	2	2	2
오래 걸리지 않을 거야	2	2	2	2	2	2	2	2	2	2
그래 뭔데?	2	2	2	2	2	2	2	2	2	2
오늘 있을 회의에서 새 컴퓨터에 관한 내 아이디어를 의논해도 될까?	2	2	0	2	0	2	2	2	2	2
그럼.	2	2	2	2	2	2	2	2	2	2
데브라 나 가봐야 돼.	2	2	2	2	2	2	2	2	2	2
알았어 도착하면 보자구.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
조금 피곤해 보이세요.	2	2	2	2	2	2	2	2	2	2
우리 4살배기 딸이 홍역에 걸렸어요.	2	2	2	2	2	2	2	2	2	2
어제 한숨도 못 자더라구요.	2	2	2	2	2	2	2	2	2	2
아, 너무 안됐네요.	2	2	2	2	2	2	0	2	2	2
증상이 뭔가요?	2	2	2	2	2	2	2	2	2	2
콧물에 목도 아프고 열이나요.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
오늘은 장을 빨리 봐야 돼.	2	2	0	2	2	2	2	2	2	2
볼 일이 많아.	2	2	2	2	2	2	2	2	2	2
뭘 살지 적었어?	2	2	2	2	2	2	2	2	2	2
양파하고 마늘이 떨어졌던데.	2	2	2	2	2	2	2	2	2	2
그것도 적었어.	2	2	2	2	2	2	2	2	2	2
나는 고기 고를 테니까 청과물 코너에서 야채 좀 보고 있어.	2	2	2	2	2	2	2	2	2	2
그러자.	2	2	2	2	2	2	2	2	2	2
제빵 코너에 들려서 패스트리 빵 좀 살까 봐.	2	2	2	2	2	2	2	2	2	2
그건 별로인데.	2	2	2	2	2	2	2	2	2	2
우리 지방과 칼로리를 줄여야 돼.	2	2	2	2	2	2	2	2	2	2
그 말이 맞아.	2	2	2	2	2	2	2	2	2	2
이번엔 없었던 거로 하자고.	2	2	2	2	2	2	2	2	2	2
10분 뒤에 계산대에서 봐.	2	2	2	2	2	2	2	2	2	2
그래.	2	2	2	2	2	2	2	2	2	2
